category,degenerate_clip,median_abs_delta_q_early_clip,median_abs_delta_q_final_clip,range_q_early_clip,range_q_final_clip,sample_id,std_q_early_clip,std_q_final_clip,subgroup,timestep_mode
1_change_object_80,0,0.05934658646583557,0.03966832160949707,0.21361982822418213,0.16198527812957764,piebench_1_change_object_80_111000000001,0.04868357620598253,0.031883966781328626,structural_discrete,first_only
1_change_object_80,0,0.03595176339149475,0.03973302245140076,0.16014397144317627,0.14452719688415527,piebench_1_change_object_80_111000000001,0.032488888159437145,0.0342430455702268,structural_discrete,first_two
1_change_object_80,0,0.06480962038040161,0.2276744246482849,0.21081513166427612,0.5303142070770264,piebench_1_change_object_80_112000000002,0.046247440537848516,0.14868953111719274,structural_discrete,first_only
1_change_object_80,0,0.07472968101501465,0.21236321330070496,0.30509626865386963,0.5551773309707642,piebench_1_change_object_80_112000000002,0.0691576161599734,0.14403272332052253,structural_discrete,first_two
2_add_object_80,0,0.06814803183078766,0.06493908166885376,0.2312570959329605,0.686666339635849,piebench_2_add_object_80_211000000001,0.0588522556232344,0.1403652496334724,structural_discrete,first_only
2_add_object_80,0,0.2314128428697586,0.09016510844230652,0.49296048283576965,0.6996739208698273,piebench_2_add_object_80_211000000001,0.14384499190809985,0.20186396091803066,structural_discrete,first_two
2_add_object_80,0,0.07278156280517578,0.13696524500846863,0.2814706861972809,0.4061340093612671,piebench_2_add_object_80_212000000009,0.08062241217233476,0.10568883566968196,structural_discrete,first_only
2_add_object_80,0,0.1463760882616043,0.18721088767051697,0.2985224723815918,0.4371519088745117,piebench_2_add_object_80_212000000009,0.09085080862888734,0.12246889894415319,structural_discrete,first_two
3_delete_object_80,0,0.0523245632648468,0.2228478491306305,0.30645644664764404,0.4255903661251068,piebench_3_delete_object_80_311000000001,0.061066451098375496,0.12961143892709343,structural_discrete,first_only
3_delete_object_80,0,0.13187718391418457,0.1984817534685135,0.3985840678215027,0.6135013103485107,piebench_3_delete_object_80_311000000001,0.09465250692926803,0.16353749548030447,structural_discrete,first_two
3_delete_object_80,0,0.026155203580856323,0.05863159894943237,0.15428918600082397,0.33163928985595703,piebench_3_delete_object_80_311000000007,0.032035446391345875,0.07243384717021979,structural_discrete,first_only
3_delete_object_80,0,0.023823857307434082,0.09958499670028687,0.1495559811592102,0.30020034313201904,piebench_3_delete_object_80_311000000007,0.02810030624635968,0.08334559543009266,structural_discrete,first_two
4_change_attribute_content_40,0,0.0713706910610199,0.03863474726676941,0.20891666412353516,0.14133507013320923,piebench_4_change_attribute_content_40_412000000002,0.04982397450205664,0.03392292796826893,appearance_like,first_only
4_change_attribute_content_40,0,0.06887540221214294,0.036126136779785156,0.3788631856441498,0.16977280378341675,piebench_4_change_attribute_content_40_412000000002,0.0810861069935588,0.04020824107985463,appearance_like,first_two
4_change_attribute_content_40,0,0.02706316113471985,0.03464233875274658,0.1045384407043457,0.1231127381324768,piebench_4_change_attribute_content_40_414000000003,0.02447459489345591,0.03309040113543226,appearance_like,first_only
4_change_attribute_content_40,0,0.046713024377822876,0.05926969647407532,0.15227413177490234,0.20025819540023804,piebench_4_change_attribute_content_40_414000000003,0.03954275912183965,0.046761785438790754,appearance_like,first_two
5_change_attribute_pose_40,0,0.03224685788154602,0.036070942878723145,0.09618663787841797,0.11530470848083496,piebench_5_change_attribute_pose_40_511000000001,0.024624850641784456,0.0343621555745328,structural_discrete,first_only
5_change_attribute_pose_40,0,0.029341787099838257,0.043453216552734375,0.14772742986679077,0.11223107576370239,piebench_5_change_attribute_pose_40_511000000001,0.035904351889374936,0.03234393657702956,structural_discrete,first_two
5_change_attribute_pose_40,0,0.030718594789505005,0.08315756916999817,0.1751449704170227,0.26891636848449707,piebench_5_change_attribute_pose_40_511000000002,0.041603002306548606,0.06644395789789385,structural_discrete,first_only
5_change_attribute_pose_40,0,0.06980091333389282,0.10408961772918701,0.2839258313179016,0.3167453408241272,piebench_5_change_attribute_pose_40_511000000002,0.06583165160669396,0.07255508200052387,structural_discrete,first_two
6_change_attribute_color_40,0,0.029947251081466675,0.014476001262664795,0.12001824378967285,0.03344082832336426,piebench_6_change_attribute_color_40_611000000000,0.029102526326959484,0.008478861235546963,appearance_like,first_only
6_change_attribute_color_40,0,0.031452059745788574,0.013081371784210205,0.08462238311767578,0.04855930805206299,piebench_6_change_attribute_color_40_611000000000,0.021118110017684814,0.01111501601118079,appearance_like,first_two
6_change_attribute_color_40,0,0.06373056769371033,0.07001563906669617,0.1711667776107788,0.19038474559783936,piebench_6_change_attribute_color_40_611000000003,0.04333178812430155,0.04500909159760509,appearance_like,first_only
