base_seed,category,degenerate_clip,early_image_path,final_image_path,guidance,instruction,pair_id,perturb_sigma_0,perturb_sigma_1,perturb_timestep_0,perturb_timestep_1,perturbation_id,perturbation_sign,q_early_clip,q_final_clip,readout_sigma,readout_timestep,sample_id,sde_scale,steps,subgroup,timestep_mode
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_06_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_06_neg.jpg,3.5,Change the cat into a tiger.,6,1.0,,1000.0,,pair_06_neg,-1,0.873521625995636,1.0013986825942993,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_07_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_07_pos.jpg,3.5,Change the cat into a tiger.,7,1.0,,1000.0,,pair_07_pos,1,0.8010973334312439,0.9052561521530151,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_07_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_07_neg.jpg,3.5,Change the cat into a tiger.,7,1.0,,1000.0,,pair_07_neg,-1,0.8596075773239136,1.0149880647659302,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_08_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_08_pos.jpg,3.5,Change the cat into a tiger.,8,1.0,,1000.0,,pair_08_pos,1,0.8138794302940369,0.9924202561378479,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_08_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_08_neg.jpg,3.5,Change the cat into a tiger.,8,1.0,,1000.0,,pair_08_neg,-1,0.8740623593330383,1.0060712099075317,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_09_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_09_pos.jpg,3.5,Change the cat into a tiger.,9,1.0,,1000.0,,pair_09_pos,1,0.7558504343032837,0.9304850101470947,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_09_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_09_neg.jpg,3.5,Change the cat into a tiger.,9,1.0,,1000.0,,pair_09_neg,-1,0.8732398748397827,1.015068531036377,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_10_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_10_pos.jpg,3.5,Change the cat into a tiger.,10,1.0,,1000.0,,pair_10_pos,1,0.8158848285675049,0.9602126479148865,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_10_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_10_neg.jpg,3.5,Change the cat into a tiger.,10,1.0,,1000.0,,pair_10_neg,-1,0.8966241478919983,1.0072325468063354,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_11_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_11_pos.jpg,3.5,Change the cat into a tiger.,11,1.0,,1000.0,,pair_11_pos,1,0.8072815537452698,0.988256573677063,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_11_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_11_neg.jpg,3.5,Change the cat into a tiger.,11,1.0,,1000.0,,pair_11_neg,-1,0.9565882682800293,1.0161666870117188,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_12_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_12_pos.jpg,3.5,Change the cat into a tiger.,12,1.0,,1000.0,,pair_12_pos,1,0.8317039012908936,0.9614487290382385,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_12_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_12_neg.jpg,3.5,Change the cat into a tiger.,12,1.0,,1000.0,,pair_12_neg,-1,0.8286513090133667,0.9831168055534363,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_13_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_13_pos.jpg,3.5,Change the cat into a tiger.,13,1.0,,1000.0,,pair_13_pos,1,0.7910829186439514,0.9588409662246704,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_13_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_13_neg.jpg,3.5,Change the cat into a tiger.,13,1.0,,1000.0,,pair_13_neg,-1,0.9617642760276794,0.9781762957572937,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_14_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_14_pos.jpg,3.5,Change the cat into a tiger.,14,1.0,,1000.0,,pair_14_pos,1,0.7928261160850525,0.9537064433097839,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_14_neg.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_14_neg.jpg,3.5,Change the cat into a tiger.,14,1.0,,1000.0,,pair_14_neg,-1,0.8249044418334961,0.9792481064796448,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
20260743,1_change_object_80,0,images/piebench_1_change_object_80_111000000001/first_only/early/pair_15_pos.jpg,images/piebench_1_change_object_80_111000000001/first_only/final/pair_15_pos.jpg,3.5,Change the cat into a tiger.,15,1.0,,1000.0,,pair_15_pos,1,0.8765495419502258,1.0118364095687866,0.9660137891769409,966.0137939453125,piebench_1_change_object_80_111000000001,0.7,10,structural_discrete,first_only
