arm,label,n,reward_mean,edit_l1_mean,preserve_l1_mean,preserve_lpips_mean,reward_std,edit_l1_std,preserve_l1_std,preserve_lpips_std
B0,固定强度选择性 LoRA,5,4.667391732185214,0.3222841382026672,0.2680915743112564,nan,2.4102526886016316,0.16156379201271268,0.11447412490618644,nan
B1,+早期分支（固定候选）,5,4.334340196019959,0.31668451949954035,0.26481863856315613,nan,3.340189939428159,0.1531121036069172,0.12331545530025592,nan
B2,+早期搜索+奖励筛选,5,3.9276880654074873,0.3153592638671398,0.2622595697641373,nan,3.0719021918136473,0.15301544689324825,0.12211182704421587,nan
B3,+区域耦合噪声,5,4.022924822714912,0.31232145205140116,0.26509060710668564,nan,2.8302110943320544,0.15024945998642586,0.12465625836870341,nan
B4,动态选择性 LoRA,5,5.132998134771061,0.3226230598986149,0.26818822920322416,nan,2.103666486291498,0.16141972226497717,0.11624298613156776,nan
B5,全部方法,5,4.459068226270329,0.312906377017498,0.2582623563706875,nan,3.1218405135165024,0.1489775093881918,0.12103184507062746,nan
