"sample_index","seed_slot","spearman_global","progress_range_global","spearman_roi","progress_range_roi","median_leakage_l1"
,"0","0.6","0.07269835472106934","0.6","0.07269835472106934","0.16089155470173017"
,"1","-0.9999999999999999","0.09277737140655518","-0.9999999999999999","0.09277737140655518","0.1869291116454244"
,"2","-0.6","0.04617375135421753","-0.6","0.04617375135421753","0.1330419713393194"
,"0","0.09999999999999999","0.12419791519641876","0.09999999999999999","0.12419791519641876","0.15238783967370795"
,"1","-0.8999999999999998","0.05274701118469238","-0.8999999999999998","0.05274701118469238","0.16863176891254658"
,"2","-0.7","0.011952251195907593","-0.7","0.011952251195907593","0.3103304126281651"
,"0","-0.39999999999999997","0.0034043192863464355","0.7999999999999999","0.008375704288482666","0.1418237632936451"
,"1","0.09999999999999999","0.004062175750732422","-0.8999999999999998","0.02419295907020569","0.21757263260554233"
,"2","0.39999999999999997","0.012900948524475098","-0.09999999999999999","0.005011394619941711","0.11066038969835891"
,"0","-0.9999999999999999","0.02295684814453125","-0.9999999999999999","0.02295684814453125","4.428162576450202"
,"1","0.39999999999999997","0.23426565527915955","0.39999999999999997","0.23426565527915955","3.4765462120587847"
,"2","0.8999999999999998","0.02087634801864624","0.8999999999999998","0.02087634801864624","4.097758653685801"

