D1_energy,D1_energy_fraction,D1_rms,D2_energy,D2_energy_fraction,D2_rms,HH1_rms,HH2_rms,HL1_rms,HL2_rms,LH1_rms,LH2_rms,LL2_energy,LL2_energy_fraction,LL2_rms,delta_D1_rms,delta_D2_rms,delta_HH1_rms,delta_HH2_rms,delta_HL1_rms,delta_HL2_rms,delta_LH1_rms,delta_LH2_rms,delta_LL2_rms,delta_total_rms,delta_velocity,run,step,total_energy,total_rms
247353.03125,0.257134470710827,1.0725041627883911,91623.921875,0.09524713942950028,1.1966544389724731,1.0404316186904907,1.0750255584716797,1.08507239818573,1.2490956783294678,1.0912905931472778,1.256990671157837,622982.875,0.6476183898596727,5.404592990875244,,,,,,,,,,,,native,1,961959.828125,1.7896298170089722
236294.40625,0.37130475418192393,1.0482553243637085,83540.265625,0.13127224755107064,1.142647385597229,1.0198160409927368,1.0491610765457153,1.0599983930587769,1.1881256103515625,1.0643763542175293,1.1851361989974976,316554.71875,0.4974229982670054,3.8525593280792236,,,,,,,,,,,,native,2,636389.390625,1.4556138515472412
232241.15625,0.3599509833872566,1.0392259359359741,81819.140625,0.12681163237133594,1.1308155059814453,1.010783314704895,1.0390464067459106,1.0505326986312866,1.1753007173538208,1.055778980255127,1.1727242469787598,331141.875,0.5132373842414075,3.940324544906616,,,,,,,,,,,,native,3,645202.171875,1.4656579494476318
229534.03125,0.354442064944798,1.0331512689590454,81292.9296875,0.12553098861609338,1.1271733045578003,1.0045981407165527,1.0329111814498901,1.0443129539489746,1.17299485206604,1.049951434135437,1.1699299812316895,336765.5625,0.5200269464391086,3.973642349243164,,,,,,,,,,,,native,4,647592.5234375,1.4683705568313599
229368.421875,0.3536727200685306,1.0327785015106201,82023.8359375,0.12647596791802498,1.132229208946228,1.0039035081863403,1.0339106321334839,1.0439070463180542,1.1824785470962524,1.0499191284179688,1.1741389036178589,337140.71875,0.5198513120134444,3.9758548736572266,,,,,,,,,,,,native,5,648532.9765625,1.4694362878799438
228587.78125,0.35199296861851426,1.0310194492340088,81576.109375,0.12561571204827843,1.1291348934173584,1.002097725868225,1.0318633317947388,1.0421286821365356,1.178259253501892,1.0482230186462402,1.1712383031845093,339246.1875,0.5223913193332074,3.988250494003296,,,,,,,,,,,,native,6,649410.078125,1.470429539680481
228124.8125,0.35164894346506387,1.0299748182296753,81230.40625,0.1252147288232858,1.126739740371704,1.0009849071502686,1.0312154293060303,1.0411127805709839,1.174315094947815,1.0472145080566406,1.1688483953475952,339373.625,0.5231363277116503,3.988999605178833,,,,,,,,,,,,native,7,648728.84375,1.4696582555770874
226839.53125,0.3484985095278355,1.027069330215454,80887.375,0.12426903490667085,1.1243581771850586,0.9980283379554749,1.0293015241622925,1.038321614265442,1.1723803281784058,1.044242024421692,1.1655925512313843,343178.40625,0.5272324555654936,4.011298179626465,,,,,,,,,,,,native,8,650905.3125,1.4721214771270752
226088.15625,0.35062173471644875,1.0253669023513794,80554.8046875,0.12492589540181173,1.1220444440841675,0.9965951442718506,1.0282533168792725,1.0365104675292969,1.169421911239624,1.0423893928527832,1.1627976894378662,338177.75,0.5244523698817395,3.9819650650024414,,,,,,,,,,,,native,9,644820.7109375,1.4652246236801147
224015.4375,0.34747319616617284,1.020655870437622,79833.09375,0.12383012775691504,1.117006778717041,0.9919160008430481,1.0234520435333252,1.0317472219467163,1.1635242700576782,1.037697196006775,1.158390760421753,340849.9375,0.5286966760769121,3.997666358947754,,,,,,,,,,,,native,10,644698.46875,1.4650858640670776
