dino_degenerate_global,dino_degenerate_roi,dino_denominator_global,dino_denominator_roi,dino_embedding_l2_to_native,dino_progress_global,dino_progress_roi,edit_l1_vs_native,edit_l1_vs_source,experiment,image_path,lpips_to_native,pixel_rms_to_native,preserve_l1_vs_native,preserve_l1_vs_source,roi_bbox
False,False,0.0220201313495636,0.0220201313495636,0.0,0.2595001757144928,0.2595001757144928,0.0,0.1483009159564972,A_native_ode,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/A_native_ode.png,0.0,0.0,0.0,0.011756819672882557,"[0, 0, 1024, 1024]"
False,False,0.0220201313495636,0.0220201313495636,0.08452266454696655,0.34086737036705017,0.34086737036705017,0.022766409441828728,0.14318272471427917,B_old_sde_perturbed,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/B_old_sde_perturbed.png,0.03560176491737366,0.03531693294644356,0.003292918438091874,0.01113923266530037,"[0, 0, 1024, 1024]"
False,False,0.0220201313495636,0.0220201313495636,0.3490869402885437,-0.4493364095687866,-0.4493364095687866,0.041400570422410965,0.1362306922674179,C_rf_sde_rho1,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/C_rf_sde_rho1.png,0.18256571888923645,0.05017928034067154,0.014900358393788338,0.019831465557217598,"[0, 0, 1024, 1024]"
False,False,0.0220201313495636,0.0220201313495636,0.36161595582962036,-0.47392773628234863,-0.47392773628234863,0.03486724942922592,0.14194947481155396,C_rf_sde_rho0,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/C_rf_sde_rho0.png,0.18862752616405487,0.045724958181381226,0.015041222795844078,0.020293962210416794,"[0, 0, 1024, 1024]"
False,False,0.0220201313495636,0.0220201313495636,0.09479983150959015,0.05178268626332283,0.05178268626332283,0.04578303545713425,0.13075818121433258,D_ode_suffix_rho1,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/D_ode_suffix_rho1.png,0.055449653416872025,0.06024148315191269,0.005708197131752968,0.0136447474360466,"[0, 0, 1024, 1024]"
False,False,0.0220201313495636,0.0220201313495636,0.10418877750635147,0.044567495584487915,0.044567495584487915,0.03008980117738247,0.14022132754325867,D_ode_suffix_rho0,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/D_ode_suffix_rho0.png,0.055570606142282486,0.04293622076511383,0.005655868444591761,0.012223318219184875,"[0, 0, 1024, 1024]"
False,False,0.0220201313495636,0.0220201313495636,0.3490869402885437,-0.4493364095687866,-0.4493364095687866,0.041400570422410965,0.1362306922674179,E_rf_sde_rho1,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/E_rf_sde_rho1.png,0.18256571888923645,0.05017928034067154,0.014900358393788338,0.019831465557217598,"[0, 0, 1024, 1024]"
False,False,0.0220201313495636,0.0220201313495636,0.3109608292579651,-0.1705944985151291,-0.1705944985151291,0.028478208929300308,0.14663799107074738,E_rf_sde_rho0,/root/autodl-tmp/flux_kontext_temporal_probe/results_mechanism_diagnostic/images/E_rf_sde_rho0.png,0.187279611825943,0.03656153380870819,0.01487166527658701,0.019228829070925713,"[0, 0, 1024, 1024]"
