branch,diffusion_coefficient,edit_latent_l2,edit_latent_rms,experiment,independent_basis_hash,latent_norm_after,latent_norm_before,latent_state_hash,model_output_difference,noise_mean,noise_norm,noise_std,prediction_norm,preserve_latent_l2,preserve_latent_rms,raw_latent_l2_to_rho1,relative_latent_difference,rho,sampler_mode,shared_basis_hash,sigma,sigma_next,state_index,step_index,timestep,total_steps
native_ode,0.0,nan,nan,A_native_ode,,400.9507141113281,403.46783447265625,92a4b34a03bd7c591f1ae8c68295d231c7e91a691f1779b14d080548d0ae8503,nan,nan,nan,nan,804.2721557617188,nan,nan,nan,nan,nan,native_ode,,0.6714348196983337,0.6369644999504089,18,17,671.434814453125,28
native_ode,0.0,nan,nan,A_native_ode,,400.3742370605469,400.9507141113281,e3b1ece0d2e3ab76e1361deb736a94257f0880d5ab6ea56eedc7037470665ec7,nan,nan,nan,nan,803.8432006835938,nan,nan,nan,nan,nan,native_ode,,0.6369644999504089,0.5993567109107971,19,18,636.9644775390625,28
native_ode,0.0,nan,nan,A_native_ode,,402.41729736328125,400.3742370605469,73fdacf72ba7a60ebbfc5347e2960885b2fe004c314d0782b493f888428dd456,nan,nan,nan,nan,801.008056640625,nan,nan,nan,nan,nan,native_ode,,0.5993567109107971,0.5581628680229187,20,19,599.356689453125,28
native_ode,0.0,nan,nan,A_native_ode,,407.9675598144531,402.41729736328125,281249388cf3ee22c7061010f4f167ec7f99c8823075f7b5cb01928def521874,nan,nan,nan,nan,798.9191284179688,nan,nan,nan,nan,nan,native_ode,,0.5581628680229187,0.5128441452980042,21,20,558.162841796875,28
native_ode,0.0,nan,nan,A_native_ode,,417.4640197753906,407.9675598144531,6555f1c31e9a16782d74d5546592fdb4140ff75c65258c893ea1ce13d48573ea,nan,nan,nan,nan,795.0426635742188,nan,nan,nan,nan,nan,native_ode,,0.5128441452980042,0.4627484083175659,22,21,512.8441162109375,28
native_ode,0.0,nan,nan,A_native_ode,,432.31036376953125,417.4640197753906,395e7d951ea634d83002dda858107115b93c7be48322743b206259b5f37a8f5e,nan,nan,nan,nan,792.2019653320312,nan,nan,nan,nan,nan,native_ode,,0.4627484083175659,0.40707841515541077,23,22,462.7484130859375,28
native_ode,0.0,nan,nan,A_native_ode,,453.1663513183594,432.31036376953125,91a35f3d19bbd6e176390d54b1316cffc70d3c881ed4fa1a89dca878e7d5999c,nan,nan,nan,nan,786.4616088867188,nan,nan,nan,nan,nan,native_ode,,0.40707841515541077,0.3448489308357239,24,23,407.07843017578125,28
native_ode,0.0,nan,nan,A_native_ode,,481.58087158203125,453.1663513183594,c011227870a702d9d61cd480c9bef947540855d1dcbdcc4fc45a8adabaec22b5,nan,nan,nan,nan,782.9955444335938,nan,nan,nan,nan,nan,native_ode,,0.3448489308357239,0.2748279869556427,25,24,344.84893798828125,28
native_ode,0.0,nan,nan,A_native_ode,,519.3114624023438,481.58087158203125,5abe42e55dae04d7353dd0d104a340448d43121375c1b93890346e18b30243ff,nan,nan,nan,nan,775.455810546875,nan,nan,nan,nan,nan,native_ode,,0.2748279869556427,0.19545459747314453,26,25,274.8279724121094,28
native_ode,0.0,nan,nan,A_native_ode,,568.1529541015625,519.3114624023438,7446ece6a96a375421da7db1fd4cea00991bf61406a4876b0fd24b2b41aed7ef,nan,nan,nan,nan,772.9151611328125,nan,nan,nan,nan,nan,native_ode,,0.19545459747314453,0.10472089797258377,27,26,195.45458984375,28
native_ode,0.0,nan,nan,A_native_ode,,629.7442626953125,568.1529541015625,0d555612e81af9e204ea265a8bd530d07a8471f5b11a7b308381e1962f6a4ab9,nan,nan,nan,nan,765.3151245117188,nan,nan,nan,nan,nan,native_ode,,0.10472089797258377,0.0,28,27,104.72090148925781,28
perturbed,nan,nan,nan,B_matched,,523.4531860351562,511.62353515625,af1a4a0c886d2f49b618c588494967e54c0d68c04b8c52371492d97ff636376a,nan,0.004561873618513346,513.2880249023438,1.002507209777832,1307.0933837890625,nan,nan,nan,nan,nan,legacy_sde,db20760db921daedce059c1aff4fe4d61798814a8c86df27cba0562c8cd981a6,1.0,0.988408625125885,1,0,1000.0,28
perturbed,0,nan,nan,B_matched,,517.3438110351562,523.4531860351562,340a10ac14ced9c72d1391399f2f813c4b71d270a8bc60a6e1b64a651f95c8a4,nan,nan,nan,nan,813.8864135742188,nan,nan,nan,nan,nan,native_ode,,0.988408625125885,0.9762224555015564,2,1,988.4086303710938,28
perturbed,0,nan,nan,B_matched,,511.0363464355469,517.3438110351562,77c28e8c6bd1c544663afe856267fda35348aedaed2ef1567fc07b79e7fa95aa,nan,nan,nan,nan,809.3301391601562,nan,nan,nan,nan,nan,native_ode,,0.9762224555015564,0.9633944034576416,3,2,976.2224731445312,28
perturbed,0,nan,nan,B_matched,,504.49774169921875,511.0363464355469,ddc90292878217f49e31187a8d74333ff6562b092409f310b83129efd5dcdc18,nan,nan,nan,nan,806.744140625,nan,nan,nan,nan,nan,native_ode,,0.9633944034576416,0.9498725533485413,4,3,963.3944091796875,28
perturbed,0,nan,nan,B_matched,,497.7630310058594,504.49774169921875,335beb5f143eebf9074e4afb88cecb9ee9247c3bce197d9e503a1111f6428d4d,nan,nan,nan,nan,807.365966796875,nan,nan,nan,nan,nan,native_ode,,0.9498725533485413,0.9355989098548889,5,4,949.87255859375,28
perturbed,0,nan,nan,B_matched,,490.8467102050781,497.7630310058594,2d4b41bd837a9d2578b473b918fe616b7762523d4b846c361efcc054d5baa415,nan,nan,nan,nan,808.0536499023438,nan,nan,nan,nan,nan,native_ode,,0.9355989098548889,0.9205089807510376,6,5,935.5989379882812,28
perturbed,0,nan,nan,B_matched,,483.7485656738281,490.8467102050781,f229b3d33b88391090bba6a7393378a82778d5e60aa9ceae4e89aea6ea7a4830,nan,nan,nan,nan,808.6246337890625,nan,nan,nan,nan,nan,native_ode,,0.9205089807510376,0.9045307636260986,7,6,920.5089721679688,28
perturbed,0,nan,nan,B_matched,,476.4956970214844,483.7485656738281,f30268e6cba92d42a29df167e9c3557fceacad1aa934ed3ce935ae016180fc73,nan,nan,nan,nan,809.2869262695312,nan,nan,nan,nan,nan,native_ode,,0.9045307636260986,0.8875834345817566,8,7,904.53076171875,28
perturbed,0,nan,nan,B_matched,,469.0997314453125,476.4956970214844,23096b337508e27169bc6ae53ef24bcac4c5bb74b9fcf0d246f91c8b7d17ac08,nan,nan,nan,nan,808.6795654296875,nan,nan,nan,nan,nan,native_ode,,0.8875834345817566,0.8695759177207947,9,8,887.5834350585938,28
perturbed,0,nan,nan,B_matched,,461.60284423828125,469.0997314453125,fc7142fb4ff49b48bc542efd6d2ef0e4fa271cffe6eb21dfacef00ea01ac14e8,nan,nan,nan,nan,808.058349609375,nan,nan,nan,nan,nan,native_ode,,0.8695759177207947,0.8504056930541992,10,9,869.575927734375,28
perturbed,0,nan,nan,B_matched,,454.08880615234375,461.60284423828125,8d73023b0b7079e4c26e2518a62ba85a2a2b293a6b6d9fe86a490e21c1c53b2e,nan,nan,nan,nan,809.6568603515625,nan,nan,nan,nan,nan,native_ode,,0.8504056930541992,0.8299564123153687,11,10,850.4057006835938,28
perturbed,0,nan,nan,B_matched,,446.6153259277344,454.08880615234375,b8c8724c5d706c988d342216595685b6d1aa04e3ad66aca34be08d64e4beb990,nan,nan,nan,nan,809.6060180664062,nan,nan,nan,nan,nan,native_ode,,0.8299564123153687,0.8080955147743225,12,11,829.9564208984375,28
perturbed,0,nan,nan,B_matched,,439.2568054199219,446.6153259277344,b98e50a71c751414121bb7119851b8742c981dd6be6dbc85fca36c7b84ff8411,nan,nan,nan,nan,808.8662719726562,nan,nan,nan,nan,nan,native_ode,,0.8080955147743225,0.7846716046333313,13,12,808.0955200195312,28
perturbed,0,nan,nan,B_matched,,432.1675109863281,439.2568054199219,08b5a5e07eca1498cdce33c51aeefffb30ce32761bb354140e4fcb422dbe6284,nan,nan,nan,nan,810.4446411132812,nan,nan,nan,nan,nan,native_ode,,0.7846716046333313,0.7595109343528748,14,13,784.671630859375,28
perturbed,0,nan,nan,B_matched,,425.51092529296875,432.1675109863281,70d85b8e87297f8a1ae1cf24d1de164c4525f0f5a990b702fd628b257690608f,nan,nan,nan,nan,808.816162109375,nan,nan,nan,nan,nan,native_ode,,0.7595109343528748,0.7324128150939941,15,14,759.5109252929688,28
perturbed,0,nan,nan,B_matched,,419.46063232421875,425.51092529296875,7d51ed215e3fc39bdf3280cb5f8e4343a44a8c2ea7a1a570c2fc5a501335994e,nan,nan,nan,nan,806.89111328125,nan,nan,nan,nan,nan,native_ode,,0.7324128150939941,0.7031447291374207,16,15,732.412841796875,28
perturbed,0,nan,nan,B_matched,,414.4362487792969,419.46063232421875,38219e567595fe66e460d911a619eb09d61231f509427b2c21d71cf2ab13e44c,nan,nan,nan,nan,805.6968383789062,nan,nan,nan,nan,nan,native_ode,,0.7031447291374207,0.6714348196983337,17,16,703.1447143554688,28
perturbed,0,nan,nan,B_matched,,410.7373352050781,414.4362487792969,790f90c756298b55cefc933f5a7da63bb20cc079efc19f860e1b74233120ee72,nan,nan,nan,nan,804.8711547851562,nan,nan,nan,nan,nan,native_ode,,0.6714348196983337,0.6369644999504089,18,17,671.434814453125,28
